survived,pclass,sex,age,sibsp,parch,fare,deck,embark_town
0,3,male,22,1,0,7.25,,Southampton
1,1,female,38,1,0,71.2833,C,Cherbourg
1,3,female,26,0,0,7.925,,Southampton
1,1,female,35,1,0,53.1,C,Southampton
0,3,male,35,0,0,8.05,,Southampton
0,3,male,,0,0,8.4583,,Queenstown
0,1,male,54,0,0,51.8625,E,Southampton
0,3,male,2,3,1,21.075,,Southampton
1,3,female,27,0,2,11.1333,,Southampton
1,2,female,14,1,0,30.0708,,Cherbourg
1,3,female,4,1,1,16.7,G,Southampton
1,1,female,58,0,0,26.55,C,Southampton
0,3,male,20,0,0,8.05,,Southampton
0,3,male,39,1,5,31.275,,Southampton
0,3,female,14,0,0,7.8542,,Southampton
1,2,female,55,0,0,16,,Southampton
0,3,male,2,4,1,29.125,,Queenstown
1,2,male,,0,0,13,,Southampton
0,3,female,31,1,0,18,,Southampton
1,3,female,,0,0,7.225,,Cherbourg
0,2,male,35,0,0,26,,Southampton
1,2,male,34,0,0,13,D,Southampton
1,3,female,15,0,0,8.0292,,Queenstown
1,1,male,28,0,0,35.5,A,Southampton
0,3,female,8,3,1,21.075,,Southampton
1,3,female,38,1,5,31.3875,,Southampton
0,3,male,,0,0,7.225,,Cherbourg
0,1,male,19,3,2,263,C,Southampton
1,3,female,,0,0,7.8792,,Queenstown
0,3,male,,0,0,7.8958,,Southampton
0,1,male,40,0,0,27.7208,,Cherbourg
1,1,female,,1,0,146.5208,B,Cherbourg
1,3,female,,0,0,7.75,,Queenstown
0,2,male,66,0,0,10.5,,Southampton
0,1,male,28,1,0,82.1708,,Cherbourg
0,1,male,42,1,0,52,,Southampton
1,3,male,,0,0,7.2292,,Cherbourg
0,3,male,21,0,0,8.05,,Southampton
0,3,female,18,2,0,18,,Southampton
1,3,female,14,1,0,11.2417,,Cherbourg
0,3,female,40,1,0,9.475,,Southampton
0,2,female,27,1,0,21,,Southampton
0,3,male,,0,0,7.8958,,Cherbourg
1,2,female,3,1,2,41.5792,,Cherbourg
1,3,female,19,0,0,7.8792,,Queenstown
0,3,male,,0,0,8.05,,Southampton
0,3,male,,1,0,15.5,,Queenstown
1,3,female,,0,0,7.75,,Queenstown
0,3,male,,2,0,21.6792,,Cherbourg
0,3,female,18,1,0,17.8,,Southampton
0,3,male,7,4,1,39.6875,,Southampton
